All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Robert J. Adams,5,2,0,0,2,"$3,535 ",$707 ,0%,40%,2016
Carlos A. Figueroa,3,2,1,0,0,"$3,531 ","$1,177 ",33%,33%,2016
"Robert Lee Herman, Jr.",11,2,1,2,3,"$3,528 ",$321 ,9%,55%,2016
Robert Fitzpatrick,2,1,1,0,0,"$3,520 ","$1,760 ",50%,50%,2016
Gilbert W. McClanahan,4,1,0,0,2,"$3,515 ",$879 ,0%,50%,2016
Raul V. Vega,9,4,0,0,4,"$3,514 ",$390 ,0%,44%,2016
Robert S. Manchio,10,5,0,1,0,"$3,512 ",$351 ,0%,10%,2016
Joshua V. Murphy,4,2,0,1,0,"$3,506 ",$877 ,0%,25%,2016
Ramon Salcedo,22,4,0,1,0,"$3,500 ",$159 ,0%,5%,2016
Sharon Bott,10,2,0,1,3,"$3,491 ",$349 ,0%,40%,2016
John T. Moore,3,1,0,0,0,"$3,481 ","$1,160 ",0%,0%,2016
Laura Carson,11,3,0,0,1,"$3,475 ",$316 ,0%,9%,2016
Jose Lozano Sanchez,5,4,0,0,1,"$3,471 ",$694 ,0%,20%,2016
James F. Yaegel,12,4,0,0,0,"$3,462 ",$289 ,0%,0%,2016
Diana L. McClure,16,7,0,0,0,"$3,453 ",$216 ,0%,0%,2016
Robert J. Freeman,8,1,0,1,1,"$3,437 ",$430 ,0%,25%,2016
Lindolfo Diaz,1,1,1,0,0,"$3,425 ","$3,425 ",100%,100%,2016
Thomas W. Hunsinger,3,1,0,1,0,"$3,425 ","$1,142 ",0%,33%,2016
Joe R. Castillo,8,2,1,3,1,"$3,419 ",$427 ,13%,63%,2016
Debbie Cunnington,17,3,0,1,3,"$3,416 ",$201 ,0%,24%,2016
Vilma I. De La Cruz,9,4,0,0,1,"$3,416 ",$380 ,0%,11%,2016
Michael Lewars,3,1,0,1,0,"$3,406 ","$1,135 ",0%,33%,2016
Paul G. Overholt,28,8,0,0,0,"$3,405 ",$122 ,0%,0%,2016
Cristobal Delgado,11,2,0,1,2,"$3,403 ",$309 ,0%,27%,2016
Daniel Dettwiller,4,1,1,0,0,"$3,400 ",$850 ,25%,25%,2016
Patricia Crane,5,1,0,1,1,"$3,396 ",$679 ,0%,40%,2016
"Martin H. Valenzuela, Jr.",5,2,0,1,0,"$3,390 ",$678 ,0%,20%,2016
Scott Powell,6,4,0,0,1,"$3,390 ",$565 ,0%,17%,2016
Bob Mitchell,7,2,1,2,3,"$3,385 ",$484 ,14%,86%,2016
Danny D. Lang,15,5,0,0,0,"$3,385 ",$226 ,0%,0%,2016
Archie Ricciardi,9,2,0,1,0,"$3,378 ",$375 ,0%,11%,2016
Nando DeFrancesco,10,1,0,0,0,"$3,374 ",$337 ,0%,0%,2016
Frank McKinley,8,3,0,0,1,"$3,370 ",$421 ,0%,13%,2016
Lynn Simpson,4,2,1,0,0,"$3,362 ",$841 ,25%,25%,2016
"David A. Lowry, Jr.",10,4,0,0,0,"$3,360 ",$336 ,0%,0%,2016
Richard W. Kennedy,3,1,0,0,0,"$3,353 ","$1,118 ",0%,0%,2016
Laura Cazares,8,6,0,0,0,"$3,335 ",$417 ,0%,0%,2016
Barry Bird Rattler,4,3,1,1,0,"$3,334 ",$834 ,25%,50%,2016
"Earl Brashear, Jr.",16,5,0,0,1,"$3,334 ",$208 ,0%,6%,2016
John W. Kerr,4,2,0,0,0,"$3,330 ",$833 ,0%,0%,2016
Steve D. Dickinson,12,3,1,1,0,"$3,327 ",$277 ,8%,17%,2016
Bill Kinch,8,2,1,1,0,"$3,318 ",$415 ,13%,25%,2016
Janis Calton,5,3,0,1,2,"$3,318 ",$664 ,0%,60%,2016
Hector Magallanes,14,6,3,0,1,"$3,316 ",$237 ,21%,29%,2016
John Halerewich,5,2,1,1,2,"$3,308 ",$662 ,20%,80%,2016
Amber Mayers,5,3,0,0,0,"$3,305 ",$661 ,0%,0%,2016
Andrew O. Williams,9,3,0,0,0,"$3,305 ",$367 ,0%,0%,2016
John M. Swygart,14,2,0,2,1,"$3,302 ",$236 ,0%,21%,2016
Sam L. Thomason,4,1,1,0,0,"$3,299 ",$825 ,25%,25%,2016
Vernon Bissell,16,4,0,0,1,"$3,291 ",$206 ,0%,6%,2016
Albert P. Araiza,6,3,0,1,0,"$3,289 ",$548 ,0%,17%,2016
Randall P. Weidner,9,6,0,0,0,"$3,275 ",$364 ,0%,0%,2016
Elise Wood Kendall,2,1,0,1,0,"$3,270 ","$1,635 ",0%,50%,2016
"Ralph W. Black, Jr.",2,1,0,0,1,"$3,262 ","$1,631 ",0%,50%,2016
Edwin Ananas,7,2,1,2,1,"$3,259 ",$466 ,14%,57%,2016
Michael S. Morrison,11,8,0,0,1,"$3,255 ",$296 ,0%,9%,2016
Roberta M. Lewis,11,3,0,1,2,"$3,250 ",$295 ,0%,27%,2016
Linda Salinas,3,1,0,2,0,"$3,248 ","$1,083 ",0%,67%,2016
Gloria M. Wenderoth,4,3,0,0,1,"$3,234 ",$809 ,0%,25%,2016
Donalda M. Cochrane,4,1,1,1,1,"$3,229 ",$807 ,25%,75%,2016
Eryn MacDonald,3,3,1,1,0,"$3,225 ","$1,075 ",33%,67%,2016
John G. Tally,3,3,1,0,0,"$3,200 ","$1,067 ",33%,33%,2016
Stephen Hamilton,3,2,0,0,0,"$3,200 ","$1,067 ",0%,0%,2016
Francis Nelson,13,5,0,0,1,"$3,196 ",$246 ,0%,8%,2016
Jack Pozzo,9,2,0,1,2,"$3,195 ",$355 ,0%,33%,2016
George Williams,26,8,0,0,1,"$3,195 ",$123 ,0%,4%,2016
Paul Knight,17,7,0,0,2,"$3,195 ",$188 ,0%,12%,2016
Trey Wood,2,1,0,0,1,"$3,191 ","$1,596 ",0%,50%,2016
Willoughby Simpson,10,5,0,0,1,"$3,190 ",$319 ,0%,10%,2016
Shellaine K. Brown,3,2,0,0,0,"$3,185 ","$1,062 ",0%,0%,2016
Phillip Dunn,2,1,0,2,0,"$3,180 ","$1,590 ",0%,100%,2016
David Schexnayder,7,2,0,0,1,"$3,170 ",$453 ,0%,14%,2016
Donna J. Landon,9,1,0,1,0,"$3,155 ",$351 ,0%,11%,2016
Randy Ritter,4,1,0,1,2,"$3,150 ",$788 ,0%,75%,2016
"Joseph W. Ayres, Jr.",4,2,0,1,0,"$3,130 ",$783 ,0%,25%,2016
Cinda Mahorney,9,2,0,0,0,"$3,115 ",$346 ,0%,0%,2016
Roger Hamshar,10,2,0,0,1,"$3,110 ",$311 ,0%,10%,2016
Rodney L. Davis,5,3,0,1,0,"$3,104 ",$621 ,0%,20%,2016
Dwayne A. Doll,2,1,0,1,0,"$3,100 ","$1,550 ",0%,50%,2016
Mickey Washburn,4,1,1,0,0,"$3,085 ",$771 ,25%,25%,2016
Karen Dennehy Godsey,5,1,0,1,0,"$3,078 ",$616 ,0%,20%,2016
Alfonso R. Ramirez,15,2,0,0,1,"$3,047 ",$203 ,0%,7%,2016
Robert A. Jeffries,3,1,0,1,0,"$3,040 ","$1,013 ",0%,33%,2016
Albino A. Rossi,6,2,0,0,1,"$3,040 ",$507 ,0%,17%,2016
Virgil Marchand,10,6,0,2,4,"$3,037 ",$304 ,0%,60%,2016
Luis O. Torres,14,4,0,2,0,"$3,025 ",$216 ,0%,14%,2016
William McLaren,10,2,0,0,0,"$3,009 ",$301 ,0%,0%,2016
Dennis Speaks,4,2,1,1,1,"$3,003 ",$751 ,25%,75%,2016
Jim Pickard,8,2,0,1,2,"$2,988 ",$374 ,0%,38%,2016
Charles A. DeMario,16,5,0,0,0,"$2,983 ",$186 ,0%,0%,2016
Barry Mackaben,14,4,0,0,0,"$2,980 ",$213 ,0%,0%,2016
Charles Craig Smith,8,2,0,0,1,"$2,980 ",$373 ,0%,13%,2016
Timothy L. Wright,6,3,0,1,0,"$2,967 ",$495 ,0%,17%,2016
Philip Coomer,5,2,0,2,0,"$2,951 ",$590 ,0%,40%,2016
Connie Barnes,3,1,0,1,0,"$2,933 ",$978 ,0%,33%,2016
Charmin Cherie Trammell,2,1,0,1,0,"$2,925 ","$1,463 ",0%,50%,2016
Jarvis Vincent,19,8,0,0,0,"$2,925 ",$154 ,0%,0%,2016
"Charles W. Phelps, Jr.",2,1,0,2,0,"$2,920 ","$1,460 ",0%,100%,2016
Donna Johnston,8,1,0,1,1,"$2,891 ",$361 ,0%,25%,2016
Tracy A. Willis,5,1,0,1,0,"$2,891 ",$578 ,0%,20%,2016
Ingrid I. Boak,11,5,0,1,0,"$2,883 ",$262 ,0%,9%,2016
Jose Antonio Rodriguez,5,1,0,0,2,"$2,881 ",$576 ,0%,40%,2016
Orville A. Atkinson,1,1,1,0,0,"$2,880 ","$2,880 ",100%,100%,2016
Whitney L. Valls,3,2,0,0,1,"$2,875 ",$958 ,0%,33%,2016
"Robert E. Delong, Sr.",11,3,0,0,3,"$2,874 ",$261 ,0%,27%,2016
Wallace Decoteau,5,2,2,0,1,"$2,872 ",$574 ,40%,60%,2016
David L. Morse,5,1,0,0,2,"$2,869 ",$574 ,0%,40%,2016
Leroy Jackson,12,3,0,0,1,"$2,843 ",$237 ,0%,8%,2016
Danny Scarbro,10,5,0,1,0,"$2,841 ",$284 ,0%,10%,2016
Guy Militello,5,1,0,1,0,"$2,835 ",$567 ,0%,20%,2016
Kevin Rak,10,2,1,0,1,"$2,831 ",$283 ,10%,20%,2016
Ray J. Culotta,18,6,0,0,0,"$2,820 ",$157 ,0%,0%,2016
Leroy E. Salazar,7,1,0,1,0,"$2,818 ",$403 ,0%,14%,2016
Stephanie Preston,2,2,0,1,0,"$2,797 ","$1,399 ",0%,50%,2016
Anthony Husbands,6,2,0,0,0,"$2,794 ",$466 ,0%,0%,2016
Kalah Welch,4,2,0,0,1,"$2,780 ",$695 ,0%,25%,2016
Roxanne Smith,5,2,0,0,2,"$2,775 ",$555 ,0%,40%,2016
Dicky Wayne Benton,4,2,0,1,0,"$2,770 ",$693 ,0%,25%,2016
Megan Carter,5,4,0,0,1,"$2,765 ",$553 ,0%,20%,2016
Pedro Maestre,3,2,0,0,1,"$2,760 ",$920 ,0%,33%,2016
Thomas Edward McFadden,15,6,0,0,0,"$2,760 ",$184 ,0%,0%,2016
Frank Gerich,19,4,0,0,1,"$2,758 ",$145 ,0%,5%,2016
Angelle Carter,10,5,0,0,2,"$2,756 ",$276 ,0%,20%,2016
Kyle Dahlke,10,7,1,1,0,"$2,749 ",$275 ,10%,20%,2016
Lascelles Wisdom,8,3,0,0,1,"$2,748 ",$344 ,0%,13%,2016
Larry A. Singleton,5,1,0,1,0,"$2,744 ",$549 ,0%,20%,2016
Norman Bishop,5,2,0,1,1,"$2,738 ",$548 ,0%,40%,2016
Andrew Bossung,16,3,0,0,2,"$2,737 ",$171 ,0%,13%,2016
David Santaella,4,3,0,2,1,"$2,732 ",$683 ,0%,75%,2016
Laura S. Roadcap,3,1,0,0,0,"$2,725 ",$908 ,0%,0%,2016
Michael H. Bell,3,1,0,0,0,"$2,720 ",$907 ,0%,0%,2016
"Manuel Vega, Jr.",4,1,0,0,1,"$2,705 ",$676 ,0%,25%,2016
"Kenton Stalheim, Jr.",5,2,0,1,1,"$2,702 ",$540 ,0%,40%,2016
Ismael Solis-Guevara,10,6,0,1,0,"$2,691 ",$269 ,0%,10%,2016
Grant Preece,10,3,1,1,1,"$2,684 ",$268 ,10%,30%,2016
Leo Delorme,10,3,0,2,2,"$2,677 ",$268 ,0%,40%,2016
Richard Conley,16,3,0,0,1,"$2,677 ",$167 ,0%,6%,2016
Richard C. Manning,23,7,0,0,1,"$2,676 ",$116 ,0%,4%,2016
Keith Hanna,5,4,0,1,1,"$2,660 ",$532 ,0%,40%,2016
Charles D. Mullins,10,3,0,0,1,"$2,653 ",$265 ,0%,10%,2016
Jared Jensen,4,4,0,1,0,"$2,634 ",$659 ,0%,25%,2016
J. M. Chandler,4,1,0,0,1,"$2,634 ",$659 ,0%,25%,2016
Amanda Haar,3,2,1,1,0,"$2,625 ",$875 ,33%,67%,2016
Caroline Webster,1,1,0,1,0,"$2,610 ","$2,610 ",0%,100%,2016
Joel Campbell,7,2,0,1,0,"$2,610 ",$373 ,0%,14%,2016
Sherry Finn,4,2,0,0,1,"$2,603 ",$651 ,0%,25%,2016
Manuel Olivas,7,4,0,2,0,"$2,600 ",$371 ,0%,29%,2016
Garry L. Thompson,1,1,0,1,0,"$2,600 ","$2,600 ",0%,100%,2016
Carroll R. Hopper,1,1,0,0,0,"$2,600 ","$2,600 ",0%,0%,2016
Don Wheeler,5,3,2,2,0,"$2,595 ",$519 ,40%,80%,2016
Darrell Vienna,7,6,0,0,0,"$2,595 ",$371 ,0%,0%,2016
Cory Lee Jones,3,2,1,1,0,"$2,585 ",$862 ,33%,67%,2016
Robert H. Auger,7,1,0,0,1,"$2,583 ",$369 ,0%,14%,2016
George A. Wynn,8,2,0,0,2,"$2,572 ",$322 ,0%,25%,2016
Manuel H. Carrasco,8,4,0,0,1,"$2,570 ",$321 ,0%,13%,2016
Douglas S. Hartz,9,2,0,1,0,"$2,569 ",$285 ,0%,11%,2016
Robert J. Taylor,6,1,0,0,0,"$2,565 ",$428 ,0%,0%,2016
Jose Ignacio DeHerrera,7,3,0,1,1,"$2,553 ",$365 ,0%,29%,2016
"Arthur A. Duffy, Jr.",1,1,0,0,1,"$2,550 ","$2,550 ",0%,100%,2016
David H. Adel,10,2,0,0,0,"$2,542 ",$254 ,0%,0%,2016
Michael C. Cameron,3,1,0,0,1,"$2,540 ",$847 ,0%,33%,2016
Brian Hille,9,2,0,1,1,"$2,537 ",$282 ,0%,22%,2016
Jack O. Fisher,1,1,0,0,1,"$2,530 ","$2,530 ",0%,100%,2016
Bridget B. Kerbel,8,2,0,0,0,"$2,528 ",$316 ,0%,0%,2016
Michael Chabara,7,1,0,0,0,"$2,522 ",$360 ,0%,0%,2016
David Tibbitts,10,4,0,0,0,"$2,519 ",$252 ,0%,0%,2016
Kathy L. Barraclough,3,2,0,1,0,"$2,510 ",$837 ,0%,33%,2016
Pilar A. Deleon,3,1,1,0,0,"$2,509 ",$836 ,33%,33%,2016
Victor Olivo,15,5,0,0,0,"$2,507 ",$167 ,0%,0%,2016
Holly Wise,1,1,0,1,0,"$2,500 ","$2,500 ",0%,100%,2016
William R. McDonald,9,3,0,0,1,"$2,497 ",$277 ,0%,11%,2016
Ian Alderson,7,2,0,1,0,"$2,491 ",$356 ,0%,14%,2016
Robert Longie,6,1,1,0,3,"$2,479 ",$413 ,17%,67%,2016
Antoinette Gonzales,9,7,0,0,1,"$2,476 ",$275 ,0%,11%,2016
Steve Hunter,5,3,0,0,0,"$2,465 ",$493 ,0%,0%,2016
Thomas B. Langston,12,5,0,0,0,"$2,463 ",$205 ,0%,0%,2016
Mel Yelvington,2,1,1,0,0,"$2,460 ","$1,230 ",50%,50%,2016
Michelle Allen,9,3,0,1,1,"$2,453 ",$273 ,0%,22%,2016
"Marvin Ray Carter, Jr.",8,5,0,0,0,"$2,452 ",$307 ,0%,0%,2016
"Armando Quintanilla, Jr.",8,4,0,1,1,"$2,444 ",$306 ,0%,25%,2016
Benny D. Olaivar,7,2,0,1,0,"$2,438 ",$348 ,0%,14%,2016
Dennis F. Good,5,2,0,0,1,"$2,432 ",$486 ,0%,20%,2016
Donald L. Bode,6,3,0,0,0,"$2,422 ",$404 ,0%,0%,2016
Terry L. Crystal,19,4,0,2,1,"$2,421 ",$127 ,0%,16%,2016
James M. Casey,1,1,0,0,1,"$2,420 ","$2,420 ",0%,100%,2016
Paul Nielsen,4,1,0,1,0,"$2,417 ",$604 ,0%,25%,2016
Kimberly Schaffer Marrs,7,3,0,0,0,"$2,415 ",$345 ,0%,0%,2016
Les Scramstad,10,2,0,0,1,"$2,412 ",$241 ,0%,10%,2016
Gobel Ratliff,8,1,0,0,2,"$2,408 ",$301 ,0%,25%,2016
Gerard P. O'Brien,13,1,0,0,1,"$2,388 ",$184 ,0%,8%,2016
Victor Oliver,18,4,0,0,0,"$2,388 ",$133 ,0%,0%,2016
Noran Calfrobe,9,3,0,1,1,"$2,386 ",$265 ,0%,22%,2016
Jim Donley,5,1,0,1,1,"$2,382 ",$476 ,0%,40%,2016
Paul Potier,8,3,0,0,0,"$2,380 ",$298 ,0%,0%,2016
Billy Mitchell,4,1,0,0,1,"$2,379 ",$595 ,0%,25%,2016
Carolina Gaytan,4,1,0,0,1,"$2,374 ",$594 ,0%,25%,2016
Erin D. Johnston,7,1,0,0,1,"$2,361 ",$337 ,0%,14%,2016
Alfredo Triana,2,2,0,0,1,"$2,355 ","$1,178 ",0%,50%,2016
Steven Thompson,13,3,0,0,0,"$2,355 ",$181 ,0%,0%,2016
Santos De Jesus,10,1,0,1,0,"$2,347 ",$235 ,0%,10%,2016
Coleman J. Lawrence,5,2,0,1,0,"$2,340 ",$468 ,0%,20%,2016
Wayne C. Cole,7,2,0,0,0,"$2,340 ",$334 ,0%,0%,2016
Gilberto R. Rivera,2,1,0,0,1,"$2,337 ","$1,169 ",0%,50%,2016
Bill Caldwell,6,2,0,0,1,"$2,323 ",$387 ,0%,17%,2016
Ryan F. Christensen,4,1,1,0,0,"$2,316 ",$579 ,25%,25%,2016
Karen S. Johnson,4,1,0,1,1,"$2,310 ",$578 ,0%,50%,2016
Gary L. Luke,12,6,0,0,2,"$2,301 ",$192 ,0%,17%,2016
Jim Fleming,5,2,2,0,0,"$2,300 ",$460 ,40%,40%,2016
John M. Cooper,1,1,0,0,1,"$2,300 ","$2,300 ",0%,100%,2016
"Leonard J. Downs, Jr.",5,4,0,0,0,"$2,300 ",$460 ,0%,0%,2016
David Campanile,15,5,0,0,0,"$2,295 ",$153 ,0%,0%,2016
Patricio G. Ybarra,9,3,0,1,1,"$2,287 ",$254 ,0%,22%,2016
Timothy V. Shorter,4,1,0,1,0,"$2,286 ",$572 ,0%,25%,2016
Marcos G. Medrano,8,1,0,0,0,"$2,281 ",$285 ,0%,0%,2016
A. Rogers Smithwick,2,2,0,0,1,"$2,280 ","$1,140 ",0%,50%,2016
John L. Langemeier,2,1,0,0,0,"$2,280 ","$1,140 ",0%,0%,2016
Ralph Buchholz,4,1,1,1,1,"$2,261 ",$565 ,25%,75%,2016
Reese M. Johnson,40,6,0,0,1,"$2,260 ",$57 ,0%,3%,2016
Robert W. Roe,6,4,0,1,1,"$2,254 ",$376 ,0%,33%,2016
Douglas A. Vail,14,5,0,0,0,"$2,248 ",$161 ,0%,0%,2016
Larry G. Morehead,7,2,0,0,2,"$2,246 ",$321 ,0%,29%,2016
Gwendolyn K. Crosser,7,1,0,1,0,"$2,240 ",$320 ,0%,14%,2016
Irving B. West,7,2,0,0,3,"$2,238 ",$320 ,0%,43%,2016
James B. Buckingham,6,3,0,0,1,"$2,235 ",$373 ,0%,17%,2016
Stacey Holsapple,9,6,0,1,0,"$2,229 ",$248 ,0%,11%,2016
Russell G. Childs,3,1,1,0,0,"$2,220 ",$740 ,33%,33%,2016
Anthony J. Alderson,3,1,0,0,0,"$2,202 ",$734 ,0%,0%,2016
Cassondra Weaver,1,1,0,1,0,"$2,200 ","$2,200 ",0%,100%,2016
Horace W. Armstrong,7,2,0,0,0,"$2,200 ",$314 ,0%,0%,2016
Adel Sika,3,1,0,0,1,"$2,190 ",$730 ,0%,33%,2016
Lona Vasquez,11,1,0,0,0,"$2,188 ",$199 ,0%,0%,2016
Alejandro Chavez,5,4,0,1,1,"$2,168 ",$434 ,0%,40%,2016
Jose Luis Nery's,3,2,0,1,0,"$2,162 ",$721 ,0%,33%,2016
Manuel Roche,7,4,0,1,1,"$2,160 ",$309 ,0%,29%,2016
Elly Rutherford,8,2,1,0,0,"$2,158 ",$270 ,13%,13%,2016
Andrew J. Valenzuela,3,1,0,0,1,"$2,155 ",$718 ,0%,33%,2016
Michael A. Curtis,4,2,0,0,0,"$2,155 ",$539 ,0%,0%,2016
"Richard E. Hughes, Jr.",3,1,0,1,0,"$2,150 ",$717 ,0%,33%,2016
Philip E. Reed,8,2,0,0,0,"$2,142 ",$268 ,0%,0%,2016
Mazie F. Brown,8,2,0,0,0,"$2,140 ",$268 ,0%,0%,2016
Sandra E. Conner,2,1,0,0,1,"$2,138 ","$1,069 ",0%,50%,2016
Juan D. Torres,6,2,0,0,1,"$2,131 ",$355 ,0%,17%,2016
Monica Goetz,5,1,0,0,2,"$2,130 ",$426 ,0%,40%,2016
Judy Woodbury,6,3,0,0,1,"$2,128 ",$355 ,0%,17%,2016
Agustin Esquilin,7,2,0,1,1,"$2,125 ",$304 ,0%,29%,2016
Carlos M. Diaz,8,3,0,0,2,"$2,118 ",$265 ,0%,25%,2016
Adam T. Burton,7,4,0,0,0,"$2,102 ",$300 ,0%,0%,2016
Martha Higgins,4,2,1,1,2,"$2,095 ",$524 ,25%,100%,2016
Michael Robert Morris,3,2,1,1,0,"$2,094 ",$698 ,33%,67%,2016
Elige Bourne,11,6,0,0,1,"$2,086 ",$190 ,0%,9%,2016
John H. Spurlock,9,5,0,0,0,"$2,082 ",$231 ,0%,0%,2016
Jeanne L. Vuyosevich,2,1,0,0,1,"$2,080 ","$1,040 ",0%,50%,2016
Jac Tomasello,13,3,0,0,0,"$2,068 ",$159 ,0%,0%,2016
Donald R. Ball,5,2,0,0,1,"$2,060 ",$412 ,0%,20%,2016
Colum O'Brien,4,2,0,0,0,"$2,048 ",$512 ,0%,0%,2016
Lauren Snider,7,2,0,0,2,"$2,038 ",$291 ,0%,29%,2016
Lilli Kurtinecz,6,2,0,0,0,"$2,035 ",$339 ,0%,0%,2016
Sherry L. Kirk,15,5,0,0,1,"$2,035 ",$136 ,0%,7%,2016
Carla Christoffersen,4,2,0,0,1,"$2,030 ",$508 ,0%,25%,2016
Jose A. Rosales,5,2,1,2,1,"$2,026 ",$405 ,20%,80%,2016
Joshua Stein,5,1,0,0,0,"$2,025 ",$405 ,0%,0%,2016
Ruby Thomas,4,2,0,0,1,"$2,025 ",$506 ,0%,25%,2016
Tanya Boulmetis,5,2,0,1,0,"$2,008 ",$402 ,0%,20%,2016
Collie Smith,7,2,0,0,0,"$2,000 ",$286 ,0%,0%,2016
Juan G. Aleman,1,1,0,0,0,"$2,000 ","$2,000 ",0%,0%,2016
Wyatt Elison,3,1,0,0,1,"$2,000 ",$667 ,0%,33%,2016
Fallon Lindstrom,6,3,1,0,0,"$1,999 ",$333 ,17%,17%,2016
Mateo Morelos,18,5,0,0,1,"$1,998 ",$111 ,0%,6%,2016
Rebecca L. Proux,9,4,0,1,1,"$1,995 ",$222 ,0%,22%,2016
"Phillip Calais, Jr.",14,5,0,0,1,"$1,990 ",$142 ,0%,7%,2016
Preston Boyd,3,2,0,1,0,"$1,982 ",$661 ,0%,33%,2016
Jasmine Napravnik,4,4,0,0,0,"$1,980 ",$495 ,0%,0%,2016
Herbert Michael Mann,12,4,0,0,1,"$1,970 ",$164 ,0%,8%,2016
Oscar Nunez,5,4,0,0,0,"$1,962 ",$392 ,0%,0%,2016
Danielle Obert,8,2,0,0,1,"$1,951 ",$244 ,0%,13%,2016
Anthony A. Stabile,7,2,0,0,0,"$1,950 ",$279 ,0%,0%,2016
Cindy Servideo,1,1,0,0,0,"$1,950 ","$1,950 ",0%,0%,2016
Johnny Allen,6,2,0,0,1,"$1,935 ",$323 ,0%,17%,2016
Paul E. Johnson,11,6,0,0,0,"$1,930 ",$175 ,0%,0%,2016
Coty Goodluck,7,2,0,1,1,"$1,917 ",$274 ,0%,29%,2016
Brian Phillips,4,1,0,0,1,"$1,915 ",$479 ,0%,25%,2016
Christopher Blanchet,6,2,0,0,1,"$1,915 ",$319 ,0%,17%,2016
Kitty A. Hebert,16,4,0,0,0,"$1,905 ",$119 ,0%,0%,2016
Helmut S. Jackson,4,2,0,0,1,"$1,904 ",$476 ,0%,25%,2016
Mike Grewell,2,1,1,0,0,"$1,895 ",$948 ,50%,50%,2016
Paul C. Jones,1,1,0,1,0,"$1,895 ","$1,895 ",0%,100%,2016
Edward J. Keenan,10,3,0,0,1,"$1,880 ",$188 ,0%,10%,2016
Leland McKinley,6,2,0,0,1,"$1,872 ",$312 ,0%,17%,2016
Stephen P. Ubbink,3,2,0,0,1,"$1,870 ",$623 ,0%,33%,2016
Michael A. Pearson,5,4,0,0,0,"$1,869 ",$374 ,0%,0%,2016
"Kenneth L. Hall, Jr.",9,2,0,0,0,"$1,860 ",$207 ,0%,0%,2016
Robert W. Radcliffe,3,1,0,0,1,"$1,850 ",$617 ,0%,33%,2016
"Val Ray Foster, Sr.",4,1,0,1,1,"$1,846 ",$462 ,0%,50%,2016
Paula M. McCanick,3,2,0,1,0,"$1,836 ",$612 ,0%,33%,2016
Randy L. Davis,8,1,0,1,0,"$1,832 ",$229 ,0%,13%,2016
Juan C. Martinez,2,1,0,1,1,"$1,830 ",$915 ,0%,100%,2016
Kenton Charles Morris,6,3,0,0,0,"$1,820 ",$303 ,0%,0%,2016
Rey Hernandez,1,1,0,0,0,"$1,800 ","$1,800 ",0%,0%,2016
Johnny M. Garretson,3,1,0,0,2,"$1,794 ",$598 ,0%,67%,2016
Allan Shuchman,4,1,0,0,1,"$1,785 ",$446 ,0%,25%,2016
Michael S. Hayes,6,1,0,0,0,"$1,785 ",$298 ,0%,0%,2016
Tim Birdrattler,11,6,0,0,2,"$1,782 ",$162 ,0%,18%,2016
Alvaro Torres,4,2,0,3,0,"$1,781 ",$445 ,0%,75%,2016
Jose Jesus Hernandez,10,1,0,0,1,"$1,781 ",$178 ,0%,10%,2016
Hassan Elamri,10,6,0,0,0,"$1,770 ",$177 ,0%,0%,2016
Scott R. Murphy,6,2,0,1,0,"$1,769 ",$295 ,0%,17%,2016
Aidan Mooney,1,1,0,0,1,"$1,766 ","$1,766 ",0%,100%,2016
Jesus Cuanda,3,2,0,0,1,"$1,762 ",$587 ,0%,33%,2016
Miguel A. Jimenez,8,2,0,0,1,"$1,753 ",$219 ,0%,13%,2016
Juan Polanco,5,2,0,0,0,"$1,750 ",$350 ,0%,0%,2016
Juan Figueroa,5,3,1,0,0,"$1,749 ",$350 ,20%,20%,2016
Michael Wells,11,4,0,0,0,"$1,749 ",$159 ,0%,0%,2016
Paul E. Ceresini,10,3,0,0,0,"$1,746 ",$175 ,0%,0%,2016
Rebecca Johnston,14,6,0,0,1,"$1,741 ",$124 ,0%,7%,2016
Ruben Payan,5,3,0,0,1,"$1,729 ",$346 ,0%,20%,2016
Edward C. Sexton,6,1,0,0,1,"$1,722 ",$287 ,0%,17%,2016
Larry McMichael,3,1,0,0,0,"$1,720 ",$573 ,0%,0%,2016
Eugene Recio,3,2,0,0,0,"$1,710 ",$570 ,0%,0%,2016
Tina M. Larue,8,3,0,0,1,"$1,703 ",$213 ,0%,13%,2016
Ebert Munoz,7,2,0,1,0,"$1,702 ",$243 ,0%,14%,2016
Carol L. Taylor,12,4,0,0,0,"$1,700 ",$142 ,0%,0%,2016
Jerold L. Gammon,17,3,0,0,0,"$1,694 ",$100 ,0%,0%,2016
"Ignacio Jordan, Jr.",2,2,0,0,1,"$1,693 ",$847 ,0%,50%,2016
Bradley Bohl,3,3,0,0,2,"$1,687 ",$562 ,0%,67%,2016
Rachel Lyon,17,6,0,0,1,"$1,687 ",$99 ,0%,6%,2016
Jeff Martin,4,4,0,1,0,"$1,681 ",$420 ,0%,25%,2016
Michael T. Adams,4,1,0,0,1,"$1,679 ",$420 ,0%,25%,2016
Wes Fletcher,3,1,0,1,0,"$1,669 ",$556 ,0%,33%,2016
