All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Manuel Chaves,32,1,3,3,"$25,105 ",$785 ,3%,7,22%,2017
Kim Cecil,46,1,4,2,"$25,082 ",$545 ,2%,7,15%,2017
Jason Simpson,55,2,1,3,"$24,970 ",$454 ,4%,6,11%,2017
Antioco Murgia,34,2,3,3,"$24,936 ",$733 ,6%,8,24%,2017
Daniel Gopie,91,6,8,9,"$24,696 ",$271 ,7%,23,25%,2017
Akifumi Kato,40,3,2,7,"$24,556 ",$614 ,8%,12,30%,2017
Juan Carlos Rivas,52,3,1,4,"$24,382 ",$469 ,6%,8,15%,2017
Luis Robletto,16,3,2,3,"$24,287 ","$1,518 ",19%,8,50%,2017
Thomas Bencomo,25,1,4,3,"$24,116 ",$965 ,4%,8,32%,2017
"Luis Rene Yescas, Jr.",63,3,6,6,"$23,965 ",$380 ,5%,15,24%,2017
CJ Benn,34,6,7,6,"$23,719 ",$698 ,18%,19,56%,2017
Maria L. Baca,27,2,3,8,"$23,440 ",$868 ,7%,13,48%,2017
Brayan Velazquez,2,0,2,0,"$23,400 ","$11,700 ",0%,2,100%,2017
Bonfilio Velazquez,34,0,4,9,"$23,258 ",$684 ,0%,13,38%,2017
"Jorge E. Collazo, Jr.",25,1,1,4,"$23,225 ",$929 ,4%,6,24%,2017
Juan L. Rosa,92,1,4,2,"$23,192 ",$252 ,1%,7,8%,2017
Holly Gervais,37,6,8,8,"$23,140 ",$625 ,16%,22,59%,2017
Anastasios Chalaris,28,2,1,5,"$22,940 ",$819 ,7%,8,29%,2017
Terry Bennett,45,10,7,5,"$22,780 ",$506 ,22%,22,49%,2017
Joel Bermudez,28,1,0,4,"$22,620 ",$808 ,4%,5,18%,2017
Anderson Stephen,63,5,7,13,"$22,610 ",$359 ,8%,25,40%,2017
Anthony Suarez,48,0,6,4,"$22,367 ",$466 ,0%,10,21%,2017
Jesus Osuna,48,9,9,4,"$22,336 ",$465 ,19%,22,46%,2017
Shavon Belle,46,2,8,2,"$21,999 ",$478 ,4%,12,26%,2017
Renny J. Arrieta,35,3,0,6,"$21,802 ",$623 ,9%,9,26%,2017
Jose Manuel Contreras,11,1,1,1,"$21,795 ","$1,981 ",9%,3,27%,2017
Tommy Turner,27,2,2,3,"$21,691 ",$803 ,7%,7,26%,2017
Sue Martin,26,2,1,2,"$21,564 ",$829 ,8%,5,19%,2017
Kirsten Swan,11,0,4,4,"$21,553 ","$1,959 ",0%,8,73%,2017
Tyson Lusk,36,1,9,4,"$21,382 ",$594 ,3%,14,39%,2017
Randy Whitter,24,2,0,1,"$21,206 ",$884 ,8%,3,13%,2017
Roderick Dacosta,8,2,4,1,"$21,062 ","$2,633 ",25%,7,88%,2017
Eric Vera Rodriguez,34,3,4,2,"$20,968 ",$617 ,9%,9,26%,2017
Francisco Monroy,35,1,5,3,"$20,650 ",$590 ,3%,9,26%,2017
Oscar Becerra,32,2,4,4,"$20,429 ",$638 ,6%,10,31%,2017
Daniel Carrillo,44,2,7,8,"$20,424 ",$464 ,5%,17,39%,2017
Juan R. Torres,28,1,0,2,"$20,336 ",$726 ,4%,3,11%,2017
Maria Falgione,7,1,0,1,"$20,295 ","$2,899 ",14%,2,29%,2017
Francisco Estrada,53,7,7,5,"$20,071 ",$379 ,13%,19,36%,2017
Richard Lunan,59,1,2,4,"$19,997 ",$339 ,2%,7,12%,2017
Vicki Lynn Warhol,30,2,3,4,"$19,909 ",$664 ,7%,9,30%,2017
Osvaldo Gonzalez,55,2,4,6,"$19,530 ",$355 ,4%,12,22%,2017
Michael Phillip Iammarino,30,2,3,3,"$19,223 ",$641 ,7%,8,27%,2017
Braxton Carmouche,46,5,4,10,"$19,099 ",$415 ,11%,19,41%,2017
Jeramie Fennell,82,6,4,9,"$19,054 ",$232 ,7%,19,23%,2017
David Cohen,5,1,0,1,"$18,730 ","$3,746 ",20%,2,40%,2017
Agustin F. Rodriguez,43,0,4,3,"$18,685 ",$435 ,0%,7,16%,2017
Matt Seifers,47,5,10,9,"$18,635 ",$396 ,11%,24,51%,2017
Ceasar Cervantes,32,1,2,4,"$18,603 ",$581 ,3%,7,22%,2017
Ray Ganpath,12,1,1,0,"$18,580 ","$1,548 ",8%,2,17%,2017
Edwin Rafael Talaverano Cardenas,1,0,1,0,"$18,240 ","$18,240 ",0%,1,100%,2017
Laurina Bugeaud,41,3,7,6,"$17,779 ",$434 ,7%,16,39%,2017
Alexander Reznikov,5,1,1,1,"$17,290 ","$3,458 ",20%,3,60%,2017
Juan Ramon Gonzalez,33,5,3,8,"$16,927 ",$513 ,15%,16,48%,2017
Donna Peck,14,0,2,4,"$16,880 ","$1,206 ",0%,6,43%,2017
Anthony Crastus,9,1,0,1,"$16,680 ","$1,853 ",11%,2,22%,2017
Juan A. Santiago,42,1,0,2,"$16,533 ",$394 ,2%,3,7%,2017
Alex O. Solis,3,0,2,0,"$16,345 ","$5,448 ",0%,2,67%,2017
Janine E. Smith,20,2,2,3,"$16,296 ",$815 ,10%,7,35%,2017
Felipe J. Santos,4,2,2,0,"$16,141 ","$4,035 ",50%,4,100%,2017
Bryan Ernst,24,2,2,3,"$16,026 ",$668 ,8%,7,29%,2017
Cordarelton Benn,13,5,2,4,"$15,855 ","$1,220 ",38%,11,85%,2017
Brian Beetem,22,6,0,4,"$15,741 ",$716 ,27%,10,45%,2017
Ariosto Delgado,11,1,1,0,"$15,500 ","$1,409 ",9%,2,18%,2017
Adrian Gonzalez,22,1,2,2,"$15,322 ",$696 ,5%,5,23%,2017
Ramon Luna,40,0,2,2,"$15,294 ",$382 ,0%,4,10%,2017
Valentino McBean,39,1,4,2,"$15,140 ",$388 ,3%,7,18%,2017
Mirko Sanna,24,0,2,2,"$14,989 ",$625 ,0%,4,17%,2017
Alvin Colon,74,0,0,6,"$14,875 ",$201 ,0%,6,8%,2017
Kerry Bryan,49,0,3,4,"$14,816 ",$302 ,0%,7,14%,2017
Jeremy Herman,37,2,6,2,"$14,807 ",$400 ,5%,10,27%,2017
Ivan F. Perez,13,1,1,0,"$14,635 ","$1,126 ",8%,2,15%,2017
Erick D. Rodriguez,9,0,2,0,"$14,575 ","$1,619 ",0%,2,22%,2017
Jesus Agosto Velazquez,36,0,1,3,"$14,575 ",$405 ,0%,4,11%,2017
Oriel Chavez,21,0,1,1,"$14,444 ",$688 ,0%,2,10%,2017
Carlos W. Marquez,37,7,3,7,"$14,284 ",$386 ,19%,17,46%,2017
Andrew Wright,47,2,4,8,"$14,283 ",$304 ,4%,14,30%,2017
Shaunda L. Larsen,37,3,5,1,"$14,049 ",$380 ,8%,9,24%,2017
Gary Wilbert Bain,15,0,2,2,"$13,990 ",$933 ,0%,4,27%,2017
Fernando Fonseca-Soto,22,2,1,1,"$13,840 ",$629 ,9%,4,18%,2017
Devin H. Magnon,32,0,1,3,"$13,760 ",$430 ,0%,4,13%,2017
Jorge Espitia,20,0,1,0,"$13,564 ",$678 ,0%,1,5%,2017
Larry Gary,23,0,1,1,"$13,535 ",$588 ,0%,2,9%,2017
Antonio Trujillo,30,2,3,2,"$13,474 ",$449 ,7%,7,23%,2017
Nikeela Renae Black,10,4,2,2,"$13,328 ","$1,333 ",40%,8,80%,2017
Javour M. Simpson,23,1,3,3,"$13,275 ",$577 ,4%,7,30%,2017
Antonio G. Perez,12,1,3,3,"$13,200 ","$1,100 ",8%,7,58%,2017
Alberto Delgado,9,0,1,1,"$13,110 ","$1,457 ",0%,2,22%,2017
Simon Pearce,1,1,0,0,"$12,900 ","$12,900 ",100%,1,100%,2017
Amelia Hauschild,17,1,3,1,"$12,711 ",$748 ,6%,5,29%,2017
Mario Cisneros,7,1,1,1,"$12,375 ","$1,768 ",14%,3,43%,2017
Andres Sanchez III,46,0,1,2,"$12,361 ",$269 ,0%,3,7%,2017
Josean Rivera,10,0,2,1,"$12,345 ","$1,235 ",0%,3,30%,2017
Tzeonn Chang,11,0,0,2,"$12,286 ","$1,117 ",0%,2,18%,2017
Samuel Jimenez,15,0,1,0,"$12,226 ",$815 ,0%,1,7%,2017
Darryl W. Brinkley,19,3,1,1,"$12,203 ",$642 ,16%,5,26%,2017
Timothy P. Decuir,41,0,3,0,"$12,190 ",$297 ,0%,3,7%,2017
Abner Adorno,26,1,2,6,"$12,176 ",$468 ,4%,9,35%,2017
Alex V. Anaya,32,2,1,3,"$12,004 ",$375 ,6%,6,19%,2017
Vince Halliday,29,0,2,2,"$12,000 ",$414 ,0%,4,14%,2017
Edgar S. Martinez,44,0,1,1,"$11,983 ",$272 ,0%,2,5%,2017
Robert Augustas Stewart,18,0,2,1,"$11,932 ",$663 ,0%,3,17%,2017
Josue I. Vargas,11,0,2,2,"$11,877 ","$1,080 ",0%,4,36%,2017
Alexandria Lucia,21,2,2,1,"$11,818 ",$563 ,10%,5,24%,2017
Jovan Figueroa,28,1,1,1,"$11,780 ",$421 ,4%,3,11%,2017
Adam Martinez,27,1,2,1,"$11,752 ",$435 ,4%,4,15%,2017
Joe Stokes,7,0,1,2,"$11,710 ","$1,673 ",0%,3,43%,2017
Evan Herman,32,2,6,10,"$11,638 ",$364 ,6%,18,56%,2017
Jose Guzman,11,2,1,2,"$11,483 ","$1,044 ",18%,5,45%,2017
Luis Alberto Sanchez,2,1,0,0,"$11,245 ","$5,623 ",50%,1,50%,2017
April Boag,19,2,4,3,"$11,207 ",$590 ,11%,9,47%,2017
Jason P. Lumpkins,6,1,0,0,"$11,082 ","$1,847 ",17%,1,17%,2017
Jennifer Fielding,31,0,2,1,"$11,020 ",$355 ,0%,3,10%,2017
Ruben Camacho,23,3,5,4,"$10,979 ",$477 ,13%,12,52%,2017
Alexis Valdez,6,1,1,0,"$10,604 ","$1,767 ",17%,2,33%,2017
Deirdre A. Panas,15,0,1,0,"$10,560 ",$704 ,0%,1,7%,2017
Anthony W. Locke,8,2,1,0,"$10,530 ","$1,316 ",25%,3,38%,2017
Wilfredo L. Gotay,42,1,1,3,"$10,500 ",$250 ,2%,5,12%,2017
Hector G. Ramos,11,1,1,0,"$10,451 ",$950 ,9%,2,18%,2017
Arny E. Fontanez,3,2,0,0,"$10,298 ","$3,433 ",67%,2,67%,2017
Mario Velazquez,14,0,1,2,"$10,229 ",$731 ,0%,3,21%,2017
Alejandro Ortega,19,4,5,1,"$10,171 ",$535 ,21%,10,53%,2017
Alisson Anahi Nunez,5,1,2,0,"$10,140 ","$2,028 ",20%,3,60%,2017
Yashira Tolentino,34,0,1,2,"$10,074 ",$296 ,0%,3,9%,2017
Vimael Torres,12,0,2,0,"$9,801 ",$817 ,0%,2,17%,2017
Jorge Panaijo,4,0,1,0,"$9,794 ","$2,449 ",0%,1,25%,2017
Rogelio Diaz Romero,29,1,1,3,"$9,629 ",$332 ,3%,5,17%,2017
Jordan Hadley,10,2,2,4,"$9,616 ",$962 ,20%,8,80%,2017
Isaac Chapa,26,0,2,5,"$9,604 ",$369 ,0%,7,27%,2017
Andrea Besana,1,1,0,0,"$9,600 ","$9,600 ",100%,1,100%,2017
Jordan Erwin,6,0,1,2,"$9,590 ","$1,598 ",0%,3,50%,2017
Jose Flores,9,0,0,1,"$9,517 ","$1,057 ",0%,1,11%,2017
Frank Johnson,36,1,1,1,"$9,328 ",$259 ,3%,3,8%,2017
Omar Reyes,8,0,0,3,"$9,316 ","$1,165 ",0%,3,38%,2017
Ivan R. Gonzalez,14,0,1,5,"$9,179 ",$656 ,0%,6,43%,2017
Travis Donlin,27,0,1,3,"$9,163 ",$339 ,0%,4,15%,2017
Allen Maragh,4,1,0,0,"$9,070 ","$2,268 ",25%,1,25%,2017
Christian Rojas,21,1,0,0,"$8,906 ",$424 ,5%,1,5%,2017
"Mario A. Trujillo, Jr.",11,0,2,2,"$8,855 ",$805 ,0%,4,36%,2017
Michael Grant,41,2,3,4,"$8,666 ",$211 ,5%,9,22%,2017
Garfield E. Garnett,34,1,3,3,"$8,574 ",$252 ,3%,7,21%,2017
Bryant Gonzalez,14,1,1,3,"$8,424 ",$602 ,7%,5,36%,2017
Misael Molina,17,1,1,4,"$8,399 ",$494 ,6%,6,35%,2017
Kenneth P. Deonauth,49,1,2,4,"$8,241 ",$168 ,2%,7,14%,2017
Eddie Joe Zambrana,25,0,1,1,"$8,069 ",$323 ,0%,2,8%,2017
Jhair Galvan,34,0,0,1,"$8,000 ",$235 ,0%,1,3%,2017
Jorge Calderon,27,0,1,1,"$7,926 ",$294 ,0%,2,7%,2017
Claudio Ponce Aguilar,3,2,0,0,"$7,900 ","$2,633 ",67%,2,67%,2017
Nathaniel Puello,11,1,0,1,"$7,885 ",$717 ,9%,2,18%,2017
Nicasio Gonzalez,5,1,0,0,"$7,875 ","$1,575 ",20%,1,20%,2017
Luciano Duenez,9,1,2,0,"$7,856 ",$873 ,11%,3,33%,2017
Kyriakos Triantafyllou,7,0,1,2,"$7,723 ","$1,103 ",0%,3,43%,2017
Corey Jordan,30,0,5,5,"$7,710 ",$257 ,0%,10,33%,2017
Nigel Flavenney,20,3,3,0,"$7,587 ",$379 ,15%,6,30%,2017
Laureano Flores,7,0,1,0,"$7,585 ","$1,084 ",0%,1,14%,2017
Tsosie Warren,13,1,0,3,"$7,543 ",$580 ,8%,4,31%,2017
Julio Alberto Rodriguez,17,1,1,1,"$7,521 ",$442 ,6%,3,18%,2017
Patrick Boxie,19,0,0,1,"$7,495 ",$394 ,0%,1,5%,2017
Fazal Razack,26,2,2,2,"$7,493 ",$288 ,8%,6,23%,2017
Jose Elias Rodriguez,17,0,0,3,"$7,486 ",$440 ,0%,3,18%,2017
Ivan Cruz,15,0,1,1,"$7,415 ",$494 ,0%,2,13%,2017
Marcus Chett Delorme,11,0,3,1,"$7,359 ",$669 ,0%,4,36%,2017
"Jose Osorio, Jr.",7,0,0,4,"$7,280 ","$1,040 ",0%,4,57%,2017
"Wilfredo L. Lozano, Jr.",3,0,1,0,"$7,200 ","$2,400 ",0%,1,33%,2017
Scott A. Bethke,10,1,1,2,"$7,199 ",$720 ,10%,4,40%,2017
Jose J. Barajas,5,1,1,0,"$7,129 ","$1,426 ",20%,2,40%,2017
Jose Montesa,2,0,0,0,"$7,022 ","$3,511 ",0%,0,0%,2017
Marcus Swiontek,4,0,0,2,"$6,955 ","$1,739 ",0%,2,50%,2017
"Robert F. Reeves, Jr.",13,0,2,1,"$6,910 ",$532 ,0%,3,23%,2017
Christopher J. McIntosh,17,0,0,2,"$6,800 ",$400 ,0%,2,12%,2017
J. Luis Torres,6,4,0,1,"$6,776 ","$1,129 ",67%,5,83%,2017
Rene Lopez,13,2,1,3,"$6,662 ",$512 ,15%,6,46%,2017
Shance Bird Rattler,20,1,2,4,"$6,621 ",$331 ,5%,7,35%,2017
Cecilio Penalba,7,0,2,0,"$6,440 ",$920 ,0%,2,29%,2017
Chris Longie,20,0,4,2,"$6,254 ",$313 ,0%,6,30%,2017
Diego Antonio Gomez,1,1,0,0,"$6,170 ","$6,170 ",100%,1,100%,2017
Cassidy Clerisse,10,0,1,1,"$6,045 ",$605 ,0%,2,20%,2017
Rosie Higgins,9,0,2,0,"$6,015 ",$668 ,0%,2,22%,2017
Jesus Munoz Villalobos,23,0,0,4,"$5,926 ",$258 ,0%,4,17%,2017
Leo Salles,9,0,1,0,"$5,870 ",$652 ,0%,1,11%,2017
Raquel Larios,22,0,0,0,"$5,842 ",$266 ,0%,0,0%,2017
Brandon Menard,5,0,1,0,"$5,840 ","$1,168 ",0%,1,20%,2017
Micah St. Hill,33,0,1,1,"$5,813 ",$176 ,0%,2,6%,2017
Keenan Steward,23,0,1,1,"$5,794 ",$252 ,0%,2,9%,2017
Keith F. Wirth,9,0,1,0,"$5,760 ",$640 ,0%,1,11%,2017
Walter Enrique Llagas,11,0,1,1,"$5,700 ",$518 ,0%,2,18%,2017
Ramiro Sanchez Castillo,5,1,0,2,"$5,690 ","$1,138 ",20%,3,60%,2017
Don C. LeBlanc,11,0,1,1,"$5,670 ",$515 ,0%,2,18%,2017
Kellie M. McDaid,2,1,0,1,"$5,630 ","$2,815 ",50%,2,100%,2017
Warren J. Ebow,20,0,0,1,"$5,565 ",$278 ,0%,1,5%,2017
Sofia Rodriguez,5,1,0,0,"$5,550 ","$1,110 ",20%,1,20%,2017
Randy B. Edison,5,0,1,1,"$5,515 ","$1,103 ",0%,2,40%,2017
Alexander Marti,11,0,1,0,"$5,457 ",$496 ,0%,1,9%,2017
Yireo Juarez,4,1,1,1,"$5,403 ","$1,351 ",25%,3,75%,2017
Christopher Ortiz,1,0,1,0,"$5,320 ","$5,320 ",0%,1,100%,2017
Reshawn Latchman,5,0,1,0,"$5,250 ","$1,050 ",0%,1,20%,2017
Manuel Garcia,1,1,0,0,"$5,160 ","$5,160 ",100%,1,100%,2017
Carl Defreitas,13,0,0,0,"$4,927 ",$379 ,0%,0,0%,2017
Alex Thomas,23,0,0,1,"$4,743 ",$206 ,0%,1,4%,2017
Tais Lyapustina,16,0,0,0,"$4,660 ",$291 ,0%,0,0%,2017
Anthony Santiago,27,0,1,0,"$4,648 ",$172 ,0%,1,4%,2017
Shaun Herman,19,0,3,3,"$4,610 ",$243 ,0%,6,32%,2017
Robert Taylor,14,0,0,0,"$4,531 ",$324 ,0%,0,0%,2017
Alejandro Landeros Zuniga,10,0,1,3,"$4,360 ",$436 ,0%,4,40%,2017
Ezequiel Rivera,23,0,0,3,"$4,339 ",$189 ,0%,3,13%,2017
Carlos A. Diaz,2,0,0,1,"$4,325 ","$2,163 ",0%,1,50%,2017
Camilo Nicolas,2,1,0,0,"$4,320 ","$2,160 ",50%,1,50%,2017
Dayanara Pizarro,15,0,0,1,"$4,282 ",$285 ,0%,1,7%,2017
Vincent Alvin Palmer,20,0,1,5,"$4,265 ",$213 ,0%,6,30%,2017
Martin Solis,12,0,0,2,"$4,180 ",$348 ,0%,2,17%,2017
Ashley Yodice,9,0,1,0,"$4,050 ",$450 ,0%,1,11%,2017
Jose Luis Enriquez,11,0,0,3,"$4,017 ",$365 ,0%,3,27%,2017
Gabriel Garcia Asencio,12,0,0,1,"$3,989 ",$332 ,0%,1,8%,2017
Cayetano Chaparro,8,0,0,0,"$3,940 ",$493 ,0%,0,0%,2017
Jose Nabor Cruz,9,0,0,1,"$3,830 ",$426 ,0%,1,11%,2017
Hector Lemus,5,1,0,0,"$3,794 ",$759 ,20%,1,20%,2017
Jaime E. Lopez,24,0,0,4,"$3,756 ",$157 ,0%,4,17%,2017
Silvia Zapico,5,0,1,0,"$3,530 ",$706 ,0%,1,20%,2017
James R. Evans,16,1,0,0,"$3,476 ",$217 ,6%,1,6%,2017
Juan Carlos Ramirez,5,1,2,0,"$3,462 ",$692 ,20%,3,60%,2017
Carlos Luis Gutierrez,6,0,0,1,"$3,450 ",$575 ,0%,1,17%,2017
John Keith Lejeune,6,0,0,2,"$3,436 ",$573 ,0%,2,33%,2017
Luz M. Lopez,14,0,1,0,"$3,383 ",$242 ,0%,1,7%,2017
Michael A. Colaneri,7,0,0,2,"$3,358 ",$480 ,0%,2,29%,2017
Luis Manuel Quinones,2,0,1,0,"$3,310 ","$1,655 ",0%,1,50%,2017
Jesus Virgen,11,0,2,2,"$3,294 ",$299 ,0%,4,36%,2017
Arturo Romero,7,0,1,0,"$3,271 ",$467 ,0%,1,14%,2017
Jose Antonio Gallego,10,0,0,2,"$3,270 ",$327 ,0%,2,20%,2017
Kyle Anderson,3,0,0,1,"$3,250 ","$1,083 ",0%,1,33%,2017
Hector Rabbitskin,7,0,2,2,"$3,248 ",$464 ,0%,4,57%,2017
Jorge O. Rocha,4,0,1,0,"$3,200 ",$800 ,0%,1,25%,2017
Pablo Laborde Fernandez,1,0,1,0,"$3,200 ","$3,200 ",0%,1,100%,2017
Martin Felix,4,0,1,1,"$3,149 ",$787 ,0%,2,50%,2017
Pedro Chavarria Espinosa,6,0,1,2,"$3,142 ",$524 ,0%,3,50%,2017
Samuel Mendez,3,1,0,0,"$3,140 ","$1,047 ",33%,1,33%,2017
Kylie Schoonover,8,1,1,1,"$3,122 ",$390 ,13%,3,38%,2017
Magomet A. Kappushev,7,0,0,0,"$3,110 ",$444 ,0%,0,0%,2017
Ezequiel Lara,6,0,0,2,"$3,094 ",$516 ,0%,2,33%,2017
Elver Vargas,9,1,1,0,"$3,092 ",$344 ,11%,2,22%,2017
Luis Gabriel Villanueva,2,0,0,1,"$3,055 ","$1,528 ",0%,1,50%,2017
Katrina Schaub,6,1,0,1,"$3,043 ",$507 ,17%,2,33%,2017
Gonzalo Galvaiz Gutierrez,12,0,1,0,"$3,004 ",$250 ,0%,1,8%,2017
Jan Carlos Suarez,17,0,0,2,"$3,002 ",$177 ,0%,2,12%,2017
Lanscott Fray,10,0,0,0,"$2,993 ",$299 ,0%,0,0%,2017
Alexandra Martinez Velez,1,0,0,1,"$2,926 ","$2,926 ",0%,1,100%,2017
Jonathan J. Gonzales,3,0,0,0,"$2,890 ",$963 ,0%,0,0%,2017
Rita M. Helton,17,0,0,1,"$2,825 ",$166 ,0%,1,6%,2017
Kathleen Marie Dregits,3,0,1,0,"$2,820 ",$940 ,0%,1,33%,2017
Monica Kay Stanley,4,0,0,1,"$2,800 ",$700 ,0%,1,25%,2017
Flavio Lozano,9,0,1,0,"$2,794 ",$310 ,0%,1,11%,2017
Pedro A. Rodriguez,1,0,0,0,"$2,750 ","$2,750 ",0%,0,0%,2017
Jerry Lee Yoakum,5,0,1,1,"$2,744 ",$549 ,0%,2,40%,2017
David Reyes-Frisby,14,0,2,0,"$2,739 ",$196 ,0%,2,14%,2017
Rolando Vasquez,7,0,0,0,"$2,700 ",$386 ,0%,0,0%,2017
Keiber Rengifo,3,0,1,0,"$2,622 ",$874 ,0%,1,33%,2017
Deivy Chavez,7,0,0,0,"$2,620 ",$374 ,0%,0,0%,2017
Stevica Djuric,3,0,0,0,"$2,592 ",$864 ,0%,0,0%,2017
Luis R. Castro,3,0,0,1,"$2,566 ",$855 ,0%,1,33%,2017
Victor Briseno,6,0,1,1,"$2,553 ",$426 ,0%,2,33%,2017
Joey R. Martinez,7,0,0,0,"$2,495 ",$356 ,0%,0,0%,2017
Steve Jadoo,20,0,2,1,"$2,474 ",$124 ,0%,3,15%,2017
Keith Yeung,2,0,0,0,"$2,420 ","$1,210 ",0%,0,0%,2017
Jesus Afanador,11,1,0,0,"$2,381 ",$216 ,9%,1,9%,2017
Gary Richards,7,0,0,0,"$2,307 ",$330 ,0%,0,0%,2017
V. L. Smith,6,0,0,0,"$2,220 ",$370 ,0%,0,0%,2017
Cerapio Figueroa,5,0,0,0,"$2,210 ",$442 ,0%,0,0%,2017
Francisco Linan,7,0,1,1,"$2,200 ",$314 ,0%,2,29%,2017
"Patrick Henry, Jr.",5,0,0,0,"$2,200 ",$440 ,0%,0,0%,2017
Dean Stimpson,7,0,0,0,"$2,188 ",$313 ,0%,0,0%,2017
John A. Castillo,3,0,0,1,"$2,180 ",$727 ,0%,1,33%,2017
Mike Holmes,12,0,0,2,"$2,166 ",$181 ,0%,2,17%,2017
Cindy Soto,6,0,1,0,"$2,154 ",$359 ,0%,1,17%,2017
Andres Osuna,12,0,2,1,"$2,151 ",$179 ,0%,3,25%,2017
Ronald R. Ordonez,8,0,0,0,"$2,110 ",$264 ,0%,0,0%,2017
George Wood,2,0,0,1,"$2,105 ","$1,053 ",0%,1,50%,2017
Victor Trujillo,3,0,0,0,"$2,095 ",$698 ,0%,0,0%,2017
Oscar G. Mancilla,14,0,0,0,"$2,050 ",$146 ,0%,0,0%,2017
Max Badal,6,0,0,0,"$2,041 ",$340 ,0%,0,0%,2017
Shelby R. Nagel,6,0,0,1,"$2,026 ",$338 ,0%,1,17%,2017
Aurelien Lemaitre,1,0,0,1,"$2,000 ","$2,000 ",0%,1,100%,2017
Gil Viera,6,0,1,1,"$1,920 ",$320 ,0%,2,33%,2017
Peter J. Artieda,2,0,1,0,"$1,900 ",$950 ,0%,1,50%,2017
Servet Ceylan,2,0,1,0,"$1,900 ",$950 ,0%,1,50%,2017
Luis M. Figueroa,2,0,0,1,"$1,800 ",$900 ,0%,1,50%,2017
Gonzalo Gabriel Ulloa Perez,3,0,0,0,"$1,770 ",$590 ,0%,0,0%,2017
Calvin S. Wolff,12,0,0,0,"$1,755 ",$146 ,0%,0,0%,2017
Rafael Holquin,12,0,0,0,"$1,741 ",$145 ,0%,0,0%,2017
Eliud Rogelio Renteria,2,0,1,0,"$1,724 ",$862 ,0%,1,50%,2017
Danny Marshall,7,0,0,1,"$1,710 ",$244 ,0%,1,14%,2017
David Godoy Garcia,3,0,0,0,"$1,680 ",$560 ,0%,0,0%,2017
Hector Rivera,2,0,1,0,"$1,660 ",$830 ,0%,1,50%,2017
Wilfredo E. Arroyo,9,0,0,0,"$1,660 ",$184 ,0%,0,0%,2017
Juan Carlos Arosemena,3,0,1,0,"$1,658 ",$553 ,0%,1,33%,2017
Edgar McIntosh,1,0,0,1,"$1,650 ","$1,650 ",0%,1,100%,2017
Melody Brooks,4,0,1,0,"$1,640 ",$410 ,0%,1,25%,2017
Christina Gray,8,0,0,0,"$1,575 ",$197 ,0%,0,0%,2017
Vladimir P. Jensen,5,0,0,1,"$1,570 ",$314 ,0%,1,20%,2017
Santiago Jimenez,5,0,1,0,"$1,561 ",$312 ,0%,1,20%,2017
Jesse Jimenez Garcia,4,0,0,1,"$1,560 ",$390 ,0%,1,25%,2017
Leobardo Rivera Jr.,10,0,0,1,"$1,540 ",$154 ,0%,1,10%,2017
Benito Jude Baca,1,0,0,1,"$1,500 ","$1,500 ",0%,1,100%,2017
Nicholas J. Petro,6,0,0,0,"$1,500 ",$250 ,0%,0,0%,2017
Kodi Dottin-Downes,10,0,0,0,"$1,493 ",$149 ,0%,0,0%,2017
Wanderley G. De'Oliveira,6,0,0,0,"$1,475 ",$246 ,0%,0,0%,2017
Yekaterina Payeras,4,0,0,0,"$1,425 ",$356 ,0%,0,0%,2017
Diego Ivan Montes De Oca,2,0,0,1,"$1,420 ",$710 ,0%,1,50%,2017
"Octavio Vergara, Jr.",3,0,0,0,"$1,420 ",$473 ,0%,0,0%,2017
Emilio Tapia,6,1,0,0,"$1,407 ",$235 ,17%,1,17%,2017
Albert J. Angulo,16,0,0,0,"$1,344 ",$84 ,0%,0,0%,2017
Raymond Torres,4,0,0,1,"$1,310 ",$328 ,0%,1,25%,2017
Todd Thomas,7,0,2,1,"$1,299 ",$186 ,0%,3,43%,2017
Rumesh Selman,5,0,0,1,"$1,265 ",$253 ,0%,1,20%,2017
Kortez Walker,11,0,0,0,"$1,260 ",$115 ,0%,0,0%,2017
Teneca Wolfe-Bell,2,0,0,0,"$1,242 ",$621 ,0%,0,0%,2017
Gary Edwards,4,0,0,0,"$1,227 ",$307 ,0%,0,0%,2017
Mario Sanchez,4,0,0,1,"$1,200 ",$300 ,0%,1,25%,2017
Carlos Camillo,1,0,0,1,"$1,164 ","$1,164 ",0%,1,100%,2017
Marcelo Cardoso,1,0,0,1,"$1,150 ","$1,150 ",0%,1,100%,2017
Richard Wade Gonzalez,13,0,0,0,"$1,140 ",$88 ,0%,0,0%,2017
Tara Hynes,1,0,0,0,"$1,140 ","$1,140 ",0%,0,0%,2017
Betty Jo Williams,6,0,0,0,"$1,132 ",$189 ,0%,0,0%,2017
David E. Quintana,2,0,0,1,"$1,130 ",$565 ,0%,1,50%,2017
Tanner Thedford,2,0,0,1,"$1,111 ",$556 ,0%,1,50%,2017
Juan A. Delgado,2,0,0,0,"$1,110 ",$555 ,0%,0,0%,2017
